date;groundwaterlevel_m_a_s_l
2020-01-01 00:00;26.81
2020-01-02 00:00;26.93
2020-01-03 00:00;27.13
2020-01-04 00:00;27.39
2020-01-05 00:00;27.25
2020-01-06 00:00;27.2
2020-01-07 00:00;27.1
2020-01-08 00:00;27
2020-01-09 00:00;26.98
2020-01-10 00:00;26.99
2020-01-11 00:00;26.99
2020-01-12 00:00;27.03
2020-01-13 00:00;26.89
2020-01-14 00:00;26.84
2020-01-15 00:00;26.84
2020-01-16 00:00;26.8
2020-01-17 00:00;26.81
2020-01-18 00:00;26.9
2020-01-19 00:00;26.82
2020-01-20 00:00;26.72
2020-01-21 00:00;26.72
2020-01-22 00:00;26.63
2020-01-23 00:00;26.57
2020-01-24 00:00;26.51
2020-01-25 00:00;26.48
2020-01-26 00:00;26.46
2020-01-27 00:00;26.42
2020-01-28 00:00;26.38
2020-01-29 00:00;26.35
2020-01-30 00:00;26.34
2020-01-31 00:00;26.3
2020-02-01 00:00;26.29
2020-02-02 00:00;26.27
2020-02-03 00:00;26.21
2020-02-04 00:00;26.2
2020-02-05 00:00;26.16
2020-02-06 00:00;26.11
2020-02-07 00:00;26.08
2020-02-08 00:00;26.04
2020-02-09 00:00;26.02
2020-02-10 00:00;26.03
2020-02-11 00:00;26.03
2020-02-12 00:00;25.99
2020-02-13 00:00;25.99
2020-02-14 00:00;25.99
2020-02-15 00:00;25.88
2020-02-16 00:00;25.9
2020-02-17 00:00;25.85
2020-02-18 00:00;25.87
2020-02-19 00:00;25.79
2020-02-20 00:00;25.83
2020-02-21 00:00;25.76
2020-02-22 00:00;25.9
2020-02-23 00:00;26.27
2020-02-24 00:00;26.38
2020-02-25 00:00;26.32
2020-02-26 00:00;26.32
2020-02-27 00:00;26.38
2020-02-28 00:00;26.3
2020-02-29 00:00;26.33
2020-03-01 00:00;26.36
2020-03-02 00:00;26.33
2020-03-03 00:00;26.36
2020-03-04 00:00;26.36
2020-03-05 00:00;26.33
2020-03-06 00:00;26.34
2020-03-07 00:00;26.34
2020-03-08 00:00;26.28
2020-03-09 00:00;26.3
2020-03-10 00:00;26.41
2020-03-11 00:00;26.43
2020-03-12 00:00;26.5
2020-03-13 00:00;26.53
2020-03-14 00:00;26.53
2020-03-15 00:00;26.53
2020-03-16 00:00;26.53
2020-03-17 00:00;26.51
2020-03-18 00:00;26.61
2020-03-19 00:00;26.51
2020-03-20 00:00;26.51
2020-03-21 00:00;26.49
2020-03-22 00:00;26.54
2020-03-23 00:00;26.58
2020-03-24 00:00;26.6
2020-03-25 00:00;26.57
2020-03-26 00:00;26.6
2020-03-27 00:00;26.6
2020-03-28 00:00;26.66
2020-03-29 00:00;26.64
2020-03-30 00:00;26.67
2020-03-31 00:00;26.63
2020-04-01 00:00;26.69
2020-04-02 00:00;26.57
2020-04-03 00:00;26.52
2020-04-04 00:00;26.51
2020-04-05 00:00;26.55
2020-04-06 00:00;26.54
2020-04-07 00:00;26.52
2020-04-08 00:00;26.51
2020-04-09 00:00;26.48
2020-04-10 00:00;26.48
2020-04-11 00:00;26.5
2020-04-12 00:00;26.49
2020-04-13 00:00;26.51
2020-04-14 00:00;26.96
2020-04-15 00:00;27.05
2020-04-16 00:00;27.09
2020-04-17 00:00;27.04
2020-04-18 00:00;26.97
2020-04-19 00:00;26.96
2020-04-20 00:00;27.13
2020-04-21 00:00;27.15
2020-04-22 00:00;27.18
2020-04-23 00:00;27.15
2020-04-24 00:00;27.09
2020-04-25 00:00;27.09
2020-04-26 00:00;27.13
2020-04-27 00:00;27.13
2020-04-28 00:00;27.06
2020-04-29 00:00;27.01
2020-04-30 00:00;26.93
2020-05-01 00:00;26.92
2020-05-02 00:00;26.88
2020-05-03 00:00;26.85
2020-05-04 00:00;26.85
2020-05-05 00:00;26.69
2020-05-06 00:00;26.61
2020-05-07 00:00;26.54
2020-05-08 00:00;26.52
